,Last Access linux time,PlayerName,Played Card on ,Moved Index on,Spent / Yield on:,"Yield sth 
that Own its node",Move in this turn?,Penality,Rolled,,Seeds,Grains
0,1677248323,nelsonlan01,"            - Seeds : [0,0]",," - Seeds : [0,0]",YES,NO,,,3x3,9,
1,1677344973,nelsonlan01,"            - Grain : [0,1]"," - Grain : [0,1]"," - Grain : [0,1]",YES,YES,/2,2,(2x3)/2,-1,3
